U001,S01,10,9,9,7,9,10,10
U001,S02,10,9,9,7,9,10,10
U001,S11,8,7,8,8,8,8,9
U001,S12,8,7,8,8,8,8,9
U002,S02,9,4,10,10,9,8,10
U003,S01,5,5,9,9,9,2,9
U004,S03,7,4,8,6,8,2,7
U004,S11,8,4,8,6,6,1,7
U005,S03,8,8,9,9,8,5,5
U006,S04,10,6,8,8,8,10,10
U007,S04,7,5,7,6,7,6,7
U007,S10,7,4,4,2,2,4,3
U008,S05,8,5,7,7,6,9,9
U009,S05,7,5,8,8,8,5,8
U010,S06,10,7,10,7,8,9,10
U011,S06,10,9,10,10,9,9,9
U011,S09,8,5,4,4,4,8,9
U012,S07,5,1,4,1,2,3,1
U013,S07,6,3,6,7,8,6,6
U014,S09,10,4,4,5,4,9,7
U015,S10,6,2,7,1,5,5,7
U016,S08,9,6,7,7,6,9,9
U017,S08,10,6,9,9,9,10,9
U018,S12,7,6,7,7,6,8,8
