clip_name,O,C,E,A,N
S01_kinect_1_clip2.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip3.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip4.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip5.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip6.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip7.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip8.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip9.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip10.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip11.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip12.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip13.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip14.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip15.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip16.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip17.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip18.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip19.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip20.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip21.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip22.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip23.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip24.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip25.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip26.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip27.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip28.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip29.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip30.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip31.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip32.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip33.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip34.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip35.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip36.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip37.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip38.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip39.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip40.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip41.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip42.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip43.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip44.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip45.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip46.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip47.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip48.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip49.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip50.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip51.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip52.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip53.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip54.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip55.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip56.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip57.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip58.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip59.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip60.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip61.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip62.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip63.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip64.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip65.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip66.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip67.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip68.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip69.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip70.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip71.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip72.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip73.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip74.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip75.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip76.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip77.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip78.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip79.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip80.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip81.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip82.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip83.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip84.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip85.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip86.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip87.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip88.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip89.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip90.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip91.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip92.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip93.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip94.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip95.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip96.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip97.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip98.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip99.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip100.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip101.npy,0.0,0.0,0.0,1.0,1.0
S01_kinect_1_clip102.npy,0.0,0.0,0.0,1.0,1.0
